dt1,dt,im,md,valid
2018-06-10 07:36:05,1528616165,/Volumes/T7/planet/mutale/data/20180610_073605_100a/20180610_073605_100a_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180610_073605_100a/20180610_073605_100a_3B_AnalyticMS_metadata.xml,FALSE
2018-06-13 08:48:02,1528879682,/Volumes/T7/planet/mutale/data/20180613_084802_1048/20180613_084802_1048_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180613_084802_1048/20180613_084802_1048_3B_AnalyticMS_metadata.xml,TRUE
2018-06-14 08:47:06,1528966026,/Volumes/T7/planet/mutale/data/20180614_084706_103f/20180614_084706_103f_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180614_084706_103f/20180614_084706_103f_3B_AnalyticMS_metadata.xml,TRUE
2018-06-15 07:36:19,1529048179,/Volumes/T7/planet/mutale/data/20180615_073619_1006/20180615_073619_1006_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180615_073619_1006/20180615_073619_1006_3B_AnalyticMS_metadata.xml,TRUE
2018-06-15 08:48:20,1529052500,/Volumes/T7/planet/mutale/data/20180615_084820_0f33/20180615_084820_0f33_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180615_084820_0f33/20180615_084820_0f33_3B_AnalyticMS_metadata.xml,FALSE
2018-06-16 07:37:08,1529134628,/Volumes/T7/planet/mutale/data/20180616_073708_0f51/20180616_073708_0f51_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180616_073708_0f51/20180616_073708_0f51_3B_AnalyticMS_metadata.xml,FALSE
2018-06-17 07:36:18,1529220978,/Volumes/T7/planet/mutale/data/20180617_073618_1010/20180617_073618_1010_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180617_073618_1010/20180617_073618_1010_3B_AnalyticMS_metadata.xml,TRUE
2018-06-19 07:36:47,1529393807,/Volumes/T7/planet/mutale/data/20180619_073647_1034/20180619_073647_1034_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180619_073647_1034/20180619_073647_1034_3B_AnalyticMS_metadata.xml,TRUE
2018-06-19 08:46:52,1529398012,/Volumes/T7/planet/mutale/data/20180619_084652_1050/20180619_084652_1050_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180619_084652_1050/20180619_084652_1050_3B_AnalyticMS_metadata.xml,TRUE
2018-06-20 07:35:56,1529480156,/Volumes/T7/planet/mutale/data/20180620_073556_103b/20180620_073556_103b_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180620_073556_103b/20180620_073556_103b_3B_AnalyticMS_metadata.xml,TRUE
